epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,952,0.49215,0.64993,0.42007,0.88421,0,0.92956,0.88755,0.93487,0.81151,0.90116,0.88665,0.92174,0.73033,0.44745,0.65355,0.44297,0.85738,0,0.00084575,0.00084575,0.00084575
51,971.051,0.47452,0.59722,0.40196,0.87664,0,0.93929,0.89404,0.93775,0.80136,0.93463,0.86084,0.93109,0.73238,0.46804,0.66508,0.45732,0.87935,0,0.0008375,0.0008375,0.0008375
52,989.342,0.48825,0.605,0.4212,0.88277,0,0.94149,0.88986,0.93499,0.81104,0.94563,0.89309,0.93936,0.74272,0.46767,0.68979,0.44001,0.86372,0,0.00082925,0.00082925,0.00082925
53,1008.01,0.47553,0.59292,0.41453,0.88486,0,0.9099,0.88654,0.92282,0.80968,0.91414,0.89054,0.93129,0.74601,0.45362,0.62375,0.44626,0.86665,0,0.000821,0.000821,0.000821
54,1026.85,0.46616,0.56057,0.40783,0.87402,0,0.91122,0.89312,0.93002,0.81106,0.92059,0.90409,0.94498,0.74695,0.4476,0.63074,0.43299,0.85537,0,0.00081275,0.00081275,0.00081275
55,1045.19,0.4696,0.58535,0.39818,0.8693,0,0.90408,0.89804,0.93689,0.81198,0.89374,0.92477,0.94834,0.7494,0.45056,0.68413,0.44257,0.86175,0,0.0008045,0.0008045,0.0008045
56,1063.58,0.47193,0.59343,0.39821,0.87754,0,0.92461,0.87974,0.94463,0.81594,0.89544,0.9066,0.94411,0.76167,0.45368,0.62328,0.43268,0.85755,0,0.00079625,0.00079625,0.00079625
57,1081.98,0.47721,0.58994,0.41339,0.88217,0,0.94966,0.87114,0.93742,0.80977,0.95036,0.87,0.94208,0.7489,0.44951,0.61022,0.46646,0.85534,0,0.000788,0.000788,0.000788
58,1100.4,0.47814,0.60662,0.40159,0.87333,0,0.90044,0.89286,0.92972,0.81814,0.90044,0.89286,0.92698,0.74946,0.44767,0.63114,0.47773,0.85512,0,0.00077975,0.00077975,0.00077975
59,1118.6,0.45542,0.58924,0.3902,0.86644,0,0.92623,0.88801,0.94075,0.8179,0.91616,0.89005,0.93574,0.75258,0.45061,0.60034,0.45351,0.86296,0,0.0007715,0.0007715,0.0007715
60,1136.82,0.44393,0.57687,0.38237,0.86408,0,0.94319,0.88947,0.93611,0.81783,0.94319,0.88947,0.93352,0.75119,0.43542,0.62099,0.44024,0.86323,0,0.00076325,0.00076325,0.00076325
61,1155.02,0.45684,0.59732,0.39662,0.87625,0,0.92095,0.89219,0.92759,0.81468,0.92095,0.89219,0.93085,0.75313,0.43507,0.61357,0.44865,0.86045,0,0.000755,0.000755,0.000755
62,1173.49,0.46072,0.58025,0.39972,0.87147,0,0.93713,0.8819,0.92693,0.82398,0.94216,0.88622,0.93626,0.74564,0.44729,0.62737,0.43674,0.8579,0,0.00074675,0.00074675,0.00074675
63,1192.14,0.45155,0.60008,0.38825,0.86845,0,0.9195,0.91647,0.94455,0.83288,0.91734,0.91507,0.94686,0.75305,0.42472,0.66068,0.40549,0.8526,0,0.0007385,0.0007385,0.0007385
